"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
193007003,"馳 浩（はせ ひろし）","文部科学大臣","総務大臣"
193007004,"馳 浩（はせ ひろし）","文部科学大臣","法務大臣"
193007005,"馳 浩（はせ ひろし）","文部科学大臣","外務大臣"
193007008,"馳 浩（はせ ひろし）","文部科学大臣","厚生労働大臣"
193007011,"馳 浩（はせ ひろし）","文部科学大臣","国土交通大臣"
193007012,"馳 浩（はせ ひろし）","文部科学大臣","環境大臣"
193007013,"馳 浩（はせ ひろし）","文部科学大臣","防衛大臣（防衛庁長官）"
193007014,"馳 浩（はせ ひろし）","文部科学大臣","国家公安委員会委員長"
193007015,"馳 浩（はせ ひろし）","文部科学大臣","防災担当大臣"
193007016,"馳 浩（はせ ひろし）","文部科学大臣","行政改革担当大臣（行政刷新担当大臣）"
193007017,"馳 浩（はせ ひろし）","文部科学大臣","沖縄及び北方対策担当大臣"
193007019,"馳 浩（はせ ひろし）","文部科学大臣","経済財政政策担当大臣"
193007020,"馳 浩（はせ ひろし）","文部科学大臣","科学技術政策担当大臣"
193007021,"馳 浩（はせ ひろし）","文部科学大臣","規制改革担当大臣"
193007022,"馳 浩（はせ ひろし）","文部科学大臣","男女共同参画担当大臣"
193007024,"馳 浩（はせ ひろし）","文部科学大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
193007028,"馳 浩（はせ ひろし）","文部科学大臣","少子化対策担当大臣"
193007029,"馳 浩（はせ ひろし）","文部科学大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
193007039,"馳 浩（はせ ひろし）","文部科学大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
193007040,"馳 浩（はせ ひろし）","文部科学大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
193007043,"馳 浩（はせ ひろし）","文部科学大臣","海洋政策担当大臣"
193007044,"馳 浩（はせ ひろし）","文部科学大臣","拉致問題担当大臣"
193007045,"馳 浩（はせ ひろし）","文部科学大臣","再チャレンジ担当大臣"
193007048,"馳 浩（はせ ひろし）","文部科学大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
193007061,"馳 浩（はせ ひろし）","文部科学大臣","原子力防災担当大臣"
193007062,"馳 浩（はせ ひろし）","文部科学大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
193007066,"馳 浩（はせ ひろし）","文部科学大臣","東京オリンピック・パラリンピック担当大臣"
193007071,"馳 浩（はせ ひろし）","文部科学大臣","国土強靱化担当大臣"
193007072,"馳 浩（はせ ひろし）","文部科学大臣","クールジャパン戦略担当大臣"
193007076,"馳 浩（はせ ひろし）","文部科学大臣","知的財産戦略担当大臣"
193007079,"馳 浩（はせ ひろし）","文部科学大臣","マイナンバー制度担当大臣"
193007082,"馳 浩（はせ ひろし）","文部科学大臣","こども政策担当大臣"
193007083,"馳 浩（はせ ひろし）","文部科学大臣","孤独・孤立対策担当大臣"
193007086,"馳 浩（はせ ひろし）","文部科学大臣","経済安全保障担当大臣"
