"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
258019003,"山際 大志郎","経済財政政策担当大臣","総務大臣"
258019004,"山際 大志郎","経済財政政策担当大臣","法務大臣"
258019005,"山際 大志郎","経済財政政策担当大臣","外務大臣"
258019007,"山際 大志郎","経済財政政策担当大臣","文部科学大臣"
258019008,"山際 大志郎","経済財政政策担当大臣","厚生労働大臣"
258019011,"山際 大志郎","経済財政政策担当大臣","国土交通大臣"
258019012,"山際 大志郎","経済財政政策担当大臣","環境大臣"
258019013,"山際 大志郎","経済財政政策担当大臣","防衛大臣（防衛庁長官）"
258019014,"山際 大志郎","経済財政政策担当大臣","国家公安委員会委員長"
258019015,"山際 大志郎","経済財政政策担当大臣","防災担当大臣"
258019016,"山際 大志郎","経済財政政策担当大臣","行政改革担当大臣
（行政刷新担当大臣）"
258019017,"山際 大志郎","経済財政政策担当大臣","沖縄及び北方対策担当大臣"
258019020,"山際 大志郎","経済財政政策担当大臣","科学技術政策担当大臣"
258019021,"山際 大志郎","経済財政政策担当大臣","規制改革担当大臣"
258019022,"山際 大志郎","経済財政政策担当大臣","男女共同参画担当大臣"
258019024,"山際 大志郎","経済財政政策担当大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
258019028,"山際 大志郎","経済財政政策担当大臣","少子化対策担当大臣"
258019029,"山際 大志郎","経済財政政策担当大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
258019039,"山際 大志郎","経済財政政策担当大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
258019040,"山際 大志郎","経済財政政策担当大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
258019043,"山際 大志郎","経済財政政策担当大臣","海洋政策担当大臣"
258019044,"山際 大志郎","経済財政政策担当大臣","拉致問題担当大臣"
258019045,"山際 大志郎","経済財政政策担当大臣","再チャレンジ担当大臣"
258019048,"山際 大志郎","経済財政政策担当大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
258019061,"山際 大志郎","経済財政政策担当大臣","原子力防災担当大臣"
258019062,"山際 大志郎","経済財政政策担当大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
258019066,"山際 大志郎","経済財政政策担当大臣","東京オリンピック・パラリンピック担当大臣"
258019071,"山際 大志郎","経済財政政策担当大臣","国土強靱化担当大臣"
258019072,"山際 大志郎","経済財政政策担当大臣","クールジャパン戦略担当大臣"
258019076,"山際 大志郎","経済財政政策担当大臣","知的財産戦略担当大臣"
258019079,"山際 大志郎","経済財政政策担当大臣","マイナンバー制度担当大臣"
258019082,"山際 大志郎","経済財政政策担当大臣","こども政策担当大臣"
258019083,"山際 大志郎","経済財政政策担当大臣","孤独・孤立対策担当大臣"
258019086,"山際 大志郎","経済財政政策担当大臣","経済安全保障担当大臣"
